Area_sqft,Bedrooms,Bathrooms,Age_years,Parking_spaces,Location,Property_Type,Furnishing,Price
3635,5,3.0,14.0,2,Pune,Apartment,Furnished,36048080.0
4484,2,4.0,5.0,1,Thane,Apartment,Semi-Furnished,55948303.0
3157,1,1.0,10.0,2,Mumbai,Apartment,Semi-Furnished,57536368.0
2136,2,2.0,27.0,3,Nashik,Apartment,Furnished,13664260.0
2125,5,3.0,33.0,0,Nagpur,Villa,Semi-Furnished,13089881.0
2171,2,2.0,22.0,2,Pune,Apartment,Unfurnished,19885913.0
3756,1,2.0,6.0,0,Mumbai,Apartment,Furnished,70006416.0
1784,4,2.0,36.0,0,Pune,Apartment,Semi-Furnished,17870278.0
1167,1,1.0,31.0,3,Nagpur,Apartment,Furnished,5793588.0
1837,2,4.0,16.0,0,Mumbai,Apartment,Semi-Furnished,34050666.0
590,1,4.0,22.0,2,Thane,Villa,Semi-Furnished,10928583.0
924,4,1.0,38.0,2,Pune,Apartment,Semi-Furnished,9537829.0
860,3,2.0,15.0,3,Thane,Apartment,Semi-Furnished,12649325.0
3586,5,3.0,1.0,2,Pune,Apartment,Unfurnished,35631250.0
3389,2,4.0,5.0,2,Nashik,Apartment,Semi-Furnished,20789357.0
3287,2,4.0,24.0,3,Mumbai,Villa,Unfurnished,62020022.0
2347,1,2.0,39.0,3,Pune,Apartment,Semi-Furnished,21467974.0
3368,2,3.0,29.0,2,Pune,Independent House,Semi-Furnished,32170598.0
1145,3,4.0,24.0,0,Nagpur,Apartment,Semi-Furnished,6997343.0
4102,1,4.0,12.0,0,Pune,Villa,Semi-Furnished,40074015.0
2504,3,2.0,17.0,1,Nashik,Apartment,Semi-Furnished,14976401.0
4252,5,4.0,1.0,2,Thane,Independent House,Semi-Furnished,56813509.0
1109,4,2.0,14.0,2,Mumbai,Apartment,Semi-Furnished,22689315.0
2489,4,1.0,24.0,3,Pune,Apartment,Semi-Furnished,24439791.0
3285,5,4.0,36.0,0,Pune,Independent House,Unfurnished,32264760.0
2482,4,4.0,36.0,0,Pune,Villa,Semi-Furnished,24831199.0
2284,4,2.0,32.0,0,Mumbai,Apartment,Furnished,42590069.0
1164,5,2.0,0.0,2,Nagpur,Apartment,Semi-Furnished,8160715.0
2024,1,2.0,32.0,2,Pune,Apartment,Furnished,18982109.0
1455,5,1.0,8.0,0,Pune,Independent House,Unfurnished,16341660.0
1706,2,4.0,24.0,3,Nashik,Apartment,Semi-Furnished,11186602.0
3234,4,1.0,37.0,1,Mumbai,Apartment,Semi-Furnished,59622365.0
3021,5,3.0,35.0,2,Nashik,Apartment,Semi-Furnished,18051692.0
2928,3,1.0,26.0,3,Thane,Independent House,Semi-Furnished,37116337.0
1947,1,3.0,11.0,0,Pune,Apartment,Unfurnished,18359457.0
4338,2,4.0,20.0,3,Nashik,Apartment,Semi-Furnished,25917771.0
850,3,3.0,28.0,3,Thane,Independent House,Semi-Furnished,12348056.0
1870,5,3.0,20.0,3,Nagpur,Apartment,Semi-Furnished,11993438.0
972,5,4.0,16.0,0,Nagpur,Villa,Unfurnished,9318450.0
1855,3,4.0,16.0,1,Nagpur,Villa,Unfurnished,12069014.0
4347,5,4.0,23.0,0,Nashik,Apartment,Furnished,26329418.0
1965,3,1.0,1.0,1,Nashik,Villa,Semi-Furnished,14909376.0
4134,3,3.0,39.0,3,Nagpur,Independent House,Semi-Furnished,20946154.0
2480,5,4.0,4.0,3,Nagpur,Apartment,Unfurnished,14627671.0
3298,4,2.0,39.0,3,Nagpur,Apartment,Semi-Furnished,16837260.0
2329,3,3.0,1.0,1,Mumbai,Independent House,Semi-Furnished,45599828.0
1563,3,1.0,20.0,3,Thane,Apartment,Furnished,21843044.0
3556,4,4.0,16.0,3,Pune,Apartment,Semi-Furnished,35396403.0
4376,4,3.0,22.0,3,Pune,Apartment,Unfurnished,41498236.0
1554,3,3.0,17.0,3,Mumbai,Independent House,Unfurnished,31176192.0
3615,1,4.0,35.0,2,Pune,Villa,Unfurnished,35083898.0
1544,1,1.0,0.0,0,Nagpur,Independent House,Semi-Furnished,9552573.0
3367,1,2.0,39.0,1,Pune,Apartment,Furnished,30448874.0
3656,3,4.0,27.0,3,Nagpur,Independent House,Unfurnished,18695036.0
2297,4,1.0,31.0,1,Nashik,Apartment,Semi-Furnished,13308552.0
3447,5,4.0,5.0,0,Pune,Villa,Semi-Furnished,35224676.0
1588,2,2.0,2.0,3,Pune,Villa,Semi-Furnished,18510405.0
817,4,3.0,15.0,1,Nashik,Apartment,Semi-Furnished,6799049.0
885,4,3.0,12.0,3,Nagpur,Apartment,Semi-Furnished,6822142.0
2288,1,3.0,31.0,1,Mumbai,Apartment,Unfurnished,41476986.0
4110,2,4.0,35.0,1,Pune,Apartment,Semi-Furnished,37769567.0
1010,2,2.0,17.0,1,Pune,Villa,Semi-Furnished,12972797.0
2323,5,1.0,30.0,1,Pune,Apartment,Semi-Furnished,22329105.0
3316,5,2.0,2.0,1,Pune,Villa,Unfurnished,34037072.0
1309,5,3.0,29.0,1,Thane,Apartment,Semi-Furnished,17372064.0
3386,3,4.0,3.0,3,Pune,Apartment,Furnished,34539238.0
1723,3,4.0,26.0,1,Pune,Villa,Semi-Furnished,19555169.0
3734,2,2.0,15.0,1,Thane,Apartment,Unfurnished,45370522.0
2816,4,4.0,16.0,3,Nagpur,Independent House,Furnished,16733208.0
2687,1,1.0,11.0,1,Mumbai,Independent House,Unfurnished,50384624.0
1207,2,1.0,16.0,0,Nashik,Apartment,Furnished,7335819.0
2352,1,1.0,34.0,0,Thane,Apartment,Unfurnished,27678599.0
3926,3,4.0,32.0,1,Pune,Apartment,Furnished,37007058.0
578,2,1.0,13.0,2,Pune,Villa,Unfurnished,8040693.0
3534,1,3.0,11.0,3,Thane,Apartment,Semi-Furnished,44582615.0
2471,2,4.0,20.0,0,Nagpur,Independent House,Furnished,14233815.0
3377,5,4.0,27.0,2,Thane,Independent House,Semi-Furnished,44151135.0
3153,3,4.0,7.0,1,Mumbai,Apartment,Unfurnished,59562244.0
2228,5,1.0,29.0,1,Thane,Villa,Unfurnished,29896096.0
1734,5,2.0,37.0,1,Mumbai,Apartment,Unfurnished,33949129.0
3009,5,3.0,33.0,1,Nagpur,Apartment,Unfurnished,14303180.0
1060,2,3.0,21.0,0,Thane,Apartment,Semi-Furnished,13046033.0
2836,5,3.0,12.0,0,Pune,Villa,Semi-Furnished,30671417.0
878,5,3.0,12.0,2,Pune,Apartment,Furnished,11647712.0
3099,5,2.0,29.0,0,Nashik,Independent House,Furnished,20701174.0
3014,2,1.0,18.0,1,Thane,Apartment,Furnished,37103729.0
837,2,2.0,4.0,0,Pune,Villa,Semi-Furnished,11057360.0
3529,3,2.0,27.0,0,Thane,Independent House,Semi-Furnished,44553793.0
2163,5,3.0,5.0,0,Mumbai,Villa,Semi-Furnished,43739330.0
3647,5,4.0,39.0,1,Mumbai,Apartment,Semi-Furnished,67730323.0
666,3,3.0,16.0,0,Mumbai,Apartment,Unfurnished,12675313.0
1217,1,3.0,13.0,0,Thane,Apartment,Furnished,16331670.0
2475,3,1.0,2.0,1,Pune,Apartment,Semi-Furnished,25105452.0
1252,4,3.0,6.0,1,Nashik,Independent House,Semi-Furnished,10259090.0
1819,3,2.0,37.0,0,Pune,Apartment,Semi-Furnished,16286921.0
3142,2,1.0,21.0,0,Thane,Apartment,Unfurnished,38339464.0
1078,2,1.0,36.0,3,Nagpur,Villa,Semi-Furnished,6448963.0
3210,1,4.0,38.0,2,Pune,Apartment,Semi-Furnished,29678270.0
913,2,4.0,1.0,0,Pune,Independent House,Furnished,12091907.0
1200,4,3.0,15.0,1,Mumbai,Apartment,Semi-Furnished,23891980.0
2850,2,4.0,33.0,1,Mumbai,Apartment,Semi-Furnished,52889936.0
3673,5,1.0,19.0,3,Thane,Villa,Semi-Furnished,48883667.0
1182,1,2.0,20.0,3,Nashik,Apartment,Furnished,8116872.0
1699,3,4.0,22.0,3,Mumbai,Independent House,Furnished,33403300.0
4200,3,1.0,28.0,0,Nagpur,Apartment,Semi-Furnished,19920514.0
4458,5,3.0,37.0,1,Mumbai,Apartment,Semi-Furnished,81592113.0
2824,5,1.0,35.0,1,Pune,Apartment,Semi-Furnished,26746378.0
2288,3,2.0,25.0,2,Pune,Apartment,Furnished,22555300.0
1887,4,2.0,23.0,3,Mumbai,Apartment,Furnished,37509775.0
2949,4,2.0,14.0,1,Nashik,Apartment,Semi-Furnished,18385541.0
2863,3,4.0,4.0,2,Pune,Apartment,Semi-Furnished,28136753.0
1679,1,4.0,28.0,1,Nashik,Independent House,Unfurnished,11125840.0
591,3,3.0,0.0,0,Pune,Apartment,Unfurnished,7745579.0
1105,2,3.0,27.0,1,Nagpur,Villa,Unfurnished,7595839.0
4334,3,1.0,19.0,2,Pune,Apartment,Unfurnished,40685788.0
2172,4,1.0,31.0,1,Mumbai,Independent House,Semi-Furnished,42051444.0
2429,2,1.0,37.0,2,Pune,Apartment,Semi-Furnished,21619720.0
2368,2,4.0,22.0,2,Mumbai,Apartment,Semi-Furnished,43658055.0
3630,5,1.0,22.0,1,Pune,Apartment,Semi-Furnished,35129111.0
759,2,2.0,19.0,3,Mumbai,Apartment,Unfurnished,14533890.0
830,1,4.0,14.0,0,Nagpur,Apartment,Semi-Furnished,4907700.0
1603,4,3.0,3.0,3,Pune,Apartment,Unfurnished,16862249.0
2446,4,3.0,1.0,0,Nagpur,Independent House,Unfurnished,14769753.0
3184,5,1.0,28.0,1,Nashik,Apartment,Furnished,19972959.0
2462,4,3.0,36.0,3,Nashik,Independent House,Unfurnished,15761026.0
2264,5,3.0,2.0,2,Nashik,Apartment,Semi-Furnished,15587246.0
4251,3,2.0,13.0,1,Mumbai,Apartment,Semi-Furnished,78942118.0
1144,2,3.0,24.0,3,Nagpur,Apartment,Semi-Furnished,6753067.0
2786,5,4.0,28.0,0,Nagpur,Apartment,Semi-Furnished,15390030.0
2668,2,2.0,29.0,2,Nagpur,Independent House,Semi-Furnished,12869644.0
2393,2,2.0,27.0,2,Pune,Apartment,Semi-Furnished,22472570.0
3730,5,2.0,3.0,0,Nagpur,Independent House,Semi-Furnished,20562396.0
1567,5,4.0,10.0,3,Pune,Apartment,Furnished,18409266.0
4315,2,1.0,18.0,3,Mumbai,Apartment,Unfurnished,78884445.0
1826,4,4.0,2.0,0,Pune,Apartment,Semi-Furnished,19800476.0
2680,5,4.0,13.0,0,Pune,Villa,Unfurnished,28528155.0
2582,4,2.0,15.0,0,Nashik,Apartment,Unfurnished,15756751.0
3899,1,3.0,39.0,1,Thane,Independent House,Furnished,47516106.0
2255,4,4.0,12.0,1,Pune,Apartment,Semi-Furnished,22767044.0
1638,1,4.0,38.0,2,Nashik,Apartment,Unfurnished,9423579.0
586,5,2.0,28.0,2,Nashik,Villa,Semi-Furnished,7005508.0
1954,1,1.0,27.0,0,Thane,Apartment,Unfurnished,23311189.0
3805,5,3.0,32.0,1,Nagpur,Independent House,Semi-Furnished,20574367.0
539,1,1.0,33.0,3,Pune,Apartment,Semi-Furnished,5336642.0
4084,3,1.0,8.0,3,Pune,Villa,Furnished,41445811.0
2671,2,4.0,16.0,1,Nashik,Apartment,Unfurnished,15774296.0
1060,5,2.0,21.0,0,Pune,Independent House,Semi-Furnished,12671982.0
1708,2,3.0,39.0,0,Thane,Apartment,Furnished,21484174.0
2716,4,1.0,1.0,1,Thane,Independent House,Furnished,35815474.0
1762,1,1.0,19.0,1,Thane,Apartment,Unfurnished,21633699.0
934,3,1.0,8.0,1,Pune,Villa,Semi-Furnished,11860946.0
3163,5,2.0,8.0,0,Nagpur,Independent House,Furnished,18544672.0
3188,5,1.0,30.0,1,Nagpur,Independent House,Semi-Furnished,16991052.0
975,2,2.0,8.0,1,Pune,Apartment,Semi-Furnished,10437075.0
1624,2,2.0,,1,Pune,Apartment,Semi-Furnished,14554861.0
1475,3,3.0,39.0,0,Pune,Independent House,Furnished,15493276.0
3137,3,3.0,31.0,3,Mumbai,Apartment,Semi-Furnished,58323464.0
3421,3,2.0,6.0,1,Thane,Villa,Unfurnished,43661997.0
3407,1,2.0,5.0,1,Thane,Apartment,Semi-Furnished,41678646.0
4255,4,1.0,17.0,3,Pune,Apartment,Semi-Furnished,40938139.0
3574,2,2.0,22.0,2,Nashik,Apartment,Semi-Furnished,21136409.0
1782,2,4.0,31.0,0,Pune,Villa,Semi-Furnished,18822434.0
930,5,4.0,16.0,0,Pune,Apartment,Semi-Furnished,11013033.0
2958,4,2.0,6.0,0,Pune,Apartment,Semi-Furnished,29444026.0
4164,2,4.0,39.0,2,Nashik,Independent House,Furnished,24670695.0
4400,5,3.0,36.0,1,Nagpur,Apartment,Semi-Furnished,21618199.0
1420,2,1.0,26.0,1,Thane,Independent House,Semi-Furnished,17982078.0
1445,3,4.0,27.0,2,Thane,Apartment,Semi-Furnished,19127099.0
649,2,2.0,37.0,2,Pune,Apartment,Unfurnished,5287324.0
1065,1,3.0,18.0,0,Nagpur,Apartment,Semi-Furnished,5932615.0
2719,3,3.0,5.0,0,Pune,Apartment,Unfurnished,26515932.0
2687,3,2.0,24.0,3,Mumbai,Villa,Furnished,52099241.0
1983,5,3.0,18.0,3,Nashik,Apartment,Semi-Furnished,14537135.0
1739,2,3.0,31.0,3,Pune,Apartment,Unfurnished,15860658.0
3819,5,2.0,30.0,3,Pune,Apartment,Semi-Furnished,36645122.0
2340,4,2.0,,1,Pune,Villa,Furnished,25163330.0
3733,1,3.0,,3,Pune,Independent House,Unfurnished,35971067.0
4352,4,1.0,16.0,3,Thane,Apartment,Furnished,55303549.0
1768,3,1.0,25.0,3,Pune,Apartment,Unfurnished,17387880.0
1310,2,4.0,25.0,0,Nashik,Apartment,Unfurnished,7892343.0
4311,3,2.0,20.0,0,Thane,Villa,Semi-Furnished,53550181.0
3039,2,3.0,21.0,1,Nashik,Apartment,Unfurnished,17300609.0
1663,4,3.0,39.0,2,Mumbai,Apartment,Furnished,32598367.0
2987,3,4.0,10.0,3,Thane,Villa,Semi-Furnished,40387752.0
2560,3,3.0,6.0,1,Pune,Apartment,Semi-Furnished,24657109.0
4122,2,3.0,31.0,3,Pune,Villa,Semi-Furnished,40240199.0
1523,2,4.0,37.0,3,Nashik,Apartment,Semi-Furnished,9702327.0
4465,3,4.0,24.0,3,Mumbai,Independent House,Semi-Furnished,83232760.0
4244,3,1.0,16.0,0,Nagpur,Apartment,Semi-Furnished,20286963.0
1222,2,3.0,13.0,0,Pune,Apartment,Furnished,12616717.0
1158,3,1.0,18.0,0,Nashik,Apartment,Semi-Furnished,7804156.0
2632,2,4.0,2.0,2,Nagpur,Apartment,Semi-Furnished,14529470.0
679,3,1.0,21.0,2,Thane,Villa,Semi-Furnished,10833401.0
1695,1,1.0,10.0,1,Pune,Apartment,Semi-Furnished,16130705.0
2240,3,1.0,10.0,0,Pune,Apartment,Semi-Furnished,21430139.0
4377,4,3.0,22.0,2,Thane,Villa,Semi-Furnished,57291477.0
4469,5,1.0,38.0,2,Nashik,Apartment,Semi-Furnished,26441664.0
1106,4,1.0,8.0,1,Pune,Villa,Unfurnished,13528974.0
4066,4,3.0,36.0,1,Pune,Villa,Furnished,40360479.0
863,1,4.0,20.0,2,Nagpur,Apartment,Furnished,6149699.0
3494,2,3.0,38.0,2,Nashik,Villa,Semi-Furnished,21548875.0
3882,4,2.0,15.0,2,Nashik,Independent House,Furnished,25602277.0
4063,5,3.0,39.0,3,Thane,Independent House,Furnished,53010824.0
1393,3,3.0,26.0,1,Pune,Apartment,Furnished,14296103.0
4073,5,2.0,26.0,2,Pune,Apartment,Unfurnished,39207765.0
